,EEG Fp1,EEG Fp2,EEG F3,EEG F4,EEG F7,EEG F8,EEG T3,EEG T4,EEG C3,EEG C4,EEG T5,EEG T6,EEG P3,EEG P4,EEG O1,EEG O2,EEG Fz,EEG Cz,EEG Pz,EEG A2-A1
Subject04,35.19316356392462,42.24273571452065,64.38939737528935,62.05075937939637,34.552212746057194,43.36097043446919,63.22630513416781,61.02373133325965,112.26342773554748,88.57594235414516,50.105974825508504,89.53968514519559,141.6314573681982,144.00245460265842,157.61854207128212,133.29704392825857,60.55621482641956,91.66519978574601,141.00881484791233,7.604891499664653
Subject05,55.585985562503666,27.779658597393436,52.08118615631324,49.746551799423386,25.167715241752767,22.725809682492518,44.216584157947565,64.64537642276892,83.5534315998062,104.8482641767377,55.808257372357915,133.52012091519424,241.03830637997882,360.8667601330352,474.4137808439185,479.3984179352228,51.54083236837882,71.37204089188137,328.6377009797197,8.010727978585951
Subject04,35.19316356392462,42.24273571452065,64.38939737528935,62.05075937939637,34.552212746057194,43.36097043446919,63.22630513416781,61.02373133325965,112.26342773554748,88.57594235414516,50.105974825508504,89.53968514519559,141.6314573681982,144.00245460265842,157.61854207128212,133.29704392825857,60.55621482641956,91.66519978574601,141.00881484791233,7.604891499664653
Subject05,55.585985562503666,27.779658597393436,52.08118615631324,49.746551799423386,25.167715241752767,22.725809682492518,44.216584157947565,64.64537642276892,83.5534315998062,104.8482641767377,55.808257372357915,133.52012091519424,241.03830637997882,360.8667601330352,474.4137808439185,479.3984179352228,51.54083236837882,71.37204089188137,328.6377009797197,8.010727978585951
Subject04,35.19316356392462,42.24273571452065,64.38939737528935,62.05075937939637,34.552212746057194,43.36097043446919,63.22630513416781,61.02373133325965,112.26342773554748,88.57594235414516,50.105974825508504,89.53968514519559,141.6314573681982,144.00245460265842,157.61854207128212,133.29704392825857,60.55621482641956,91.66519978574601,141.00881484791233,7.604891499664653
Subject05,55.585985562503666,27.779658597393436,52.08118615631324,49.746551799423386,25.167715241752767,22.725809682492518,44.216584157947565,64.64537642276892,83.5534315998062,104.8482641767377,55.808257372357915,133.52012091519424,241.03830637997882,360.8667601330352,474.4137808439185,479.3984179352228,51.54083236837882,71.37204089188137,328.6377009797197,8.010727978585951
Subject04,35.19316356392462,42.24273571452065,64.38939737528935,62.05075937939637,34.552212746057194,43.36097043446919,63.22630513416781,61.02373133325965,112.26342773554748,88.57594235414516,50.105974825508504,89.53968514519559,141.6314573681982,144.00245460265842,157.61854207128212,133.29704392825857,60.55621482641956,91.66519978574601,141.00881484791233,7.604891499664653
Subject05,55.585985562503666,27.779658597393436,52.08118615631324,49.746551799423386,25.167715241752767,22.725809682492518,44.216584157947565,64.64537642276892,83.5534315998062,104.8482641767377,55.808257372357915,133.52012091519424,241.03830637997882,360.8667601330352,474.4137808439185,479.3984179352228,51.54083236837882,71.37204089188137,328.6377009797197,8.010727978585951
Subject04,35.19316356392462,42.24273571452065,64.38939737528935,62.05075937939637,34.552212746057194,43.36097043446919,63.22630513416781,61.02373133325965,112.26342773554748,88.57594235414516,50.105974825508504,89.53968514519559,141.6314573681982,144.00245460265842,157.61854207128212,133.29704392825857,60.55621482641956,91.66519978574601,141.00881484791233,7.604891499664653
Subject05,55.585985562503666,27.779658597393436,52.08118615631324,49.746551799423386,25.167715241752767,22.725809682492518,44.216584157947565,64.64537642276892,83.5534315998062,104.8482641767377,55.808257372357915,133.52012091519424,241.03830637997882,360.8667601330352,474.4137808439185,479.3984179352228,51.54083236837882,71.37204089188137,328.6377009797197,8.010727978585951
Subject04,35.19316356392462,42.24273571452065,64.38939737528935,62.05075937939637,34.552212746057194,43.36097043446919,63.22630513416781,61.02373133325965,112.26342773554748,88.57594235414516,50.105974825508504,89.53968514519559,141.6314573681982,144.00245460265842,157.61854207128212,133.29704392825857,60.55621482641956,91.66519978574601,141.00881484791233,7.604891499664653
Subject05,55.585985562503666,27.779658597393436,52.08118615631324,49.746551799423386,25.167715241752767,22.725809682492518,44.216584157947565,64.64537642276892,83.5534315998062,104.8482641767377,55.808257372357915,133.52012091519424,241.03830637997882,360.8667601330352,474.4137808439185,479.3984179352228,51.54083236837882,71.37204089188137,328.6377009797197,8.010727978585951
Subject04,35.19316356392462,42.24273571452065,64.38939737528935,62.05075937939637,34.552212746057194,43.36097043446919,63.22630513416781,61.02373133325965,112.26342773554748,88.57594235414516,50.105974825508504,89.53968514519559,141.6314573681982,144.00245460265842,157.61854207128212,133.29704392825857,60.55621482641956,91.66519978574601,141.00881484791233,7.604891499664653
Subject05,55.585985562503666,27.779658597393436,52.08118615631324,49.746551799423386,25.167715241752767,22.725809682492518,44.216584157947565,64.64537642276892,83.5534315998062,104.8482641767377,55.808257372357915,133.52012091519424,241.03830637997882,360.8667601330352,474.4137808439185,479.3984179352228,51.54083236837882,71.37204089188137,328.6377009797197,8.010727978585951
Subject05,55.585985562503666,27.779658597393436,52.08118615631324,49.746551799423386,25.167715241752767,22.725809682492518,44.216584157947565,64.64537642276892,83.5534315998062,104.8482641767377,55.808257372357915,133.52012091519424,241.03830637997882,360.8667601330352,474.4137808439185,479.3984179352228,51.54083236837882,71.37204089188137,328.6377009797197,8.010727978585951
Subject06,13.725573537789762,16.51082286077031,25.311268846888456,27.17286608626033,14.972984025088387,20.219089151389426,16.79650357925715,46.60243472079064,25.386346873825065,36.77158730961038,17.514693795797292,66.10586783602773,44.4685412534344,72.48846173123461,61.12738773433821,88.24679725086747,24.600413933706164,29.843005165800786,52.335916847581416,7.926819215804356
