,EEG Fp1,EEG Fp2,EEG F3,EEG F4,EEG F7,EEG F8,EEG T3,EEG T4,EEG C3,EEG C4,EEG T5,EEG T6,EEG P3,EEG P4,EEG O1,EEG O2,EEG Fz,EEG Cz,EEG Pz,EEG A2-A1
Subject04,66.93476120817944,87.54212766662192,120.06576200610264,102.61300641576156,65.06536965778388,91.97941836407597,112.26046339401616,90.55592702474947,266.61069513165194,140.14643534894398,99.71989504681345,154.3481895352897,410.90007852019244,276.0772948851751,391.4646007588179,282.86087679635494,102.30996952125051,180.05807653706603,339.7328552170824,15.477692409848155
Subject05,113.8240971018259,74.02334037726301,108.84525631753293,120.83692676628165,65.86935210526411,59.36421485851908,121.91561022418233,215.8841008326425,212.0392264788849,354.4897597433312,162.80969437237746,385.4659413260499,778.4966290419454,1658.7057478116533,2399.319988837432,2550.262175010621,106.73270067636076,170.66789314652968,1284.1043100477664,15.699173720286705
Subject04,66.93476120817944,87.54212766662192,120.06576200610264,102.61300641576156,65.06536965778388,91.97941836407597,112.26046339401616,90.55592702474947,266.61069513165194,140.14643534894398,99.71989504681345,154.3481895352897,410.90007852019244,276.0772948851751,391.4646007588179,282.86087679635494,102.30996952125051,180.05807653706603,339.7328552170824,15.477692409848155
Subject05,113.8240971018259,74.02334037726301,108.84525631753293,120.83692676628165,65.86935210526411,59.36421485851908,121.91561022418233,215.8841008326425,212.0392264788849,354.4897597433312,162.80969437237746,385.4659413260499,778.4966290419454,1658.7057478116533,2399.319988837432,2550.262175010621,106.73270067636076,170.66789314652968,1284.1043100477664,15.699173720286705
Subject04,66.93476120817944,87.54212766662192,120.06576200610264,102.61300641576156,65.06536965778388,91.97941836407597,112.26046339401616,90.55592702474947,266.61069513165194,140.14643534894398,99.71989504681345,154.3481895352897,410.90007852019244,276.0772948851751,391.4646007588179,282.86087679635494,102.30996952125051,180.05807653706603,339.7328552170824,15.477692409848155
Subject05,113.8240971018259,74.02334037726301,108.84525631753293,120.83692676628165,65.86935210526411,59.36421485851908,121.91561022418233,215.8841008326425,212.0392264788849,354.4897597433312,162.80969437237746,385.4659413260499,778.4966290419454,1658.7057478116533,2399.319988837432,2550.262175010621,106.73270067636076,170.66789314652968,1284.1043100477664,15.699173720286705
Subject04,66.93476120817944,87.54212766662192,120.06576200610264,102.61300641576156,65.06536965778388,91.97941836407597,112.26046339401616,90.55592702474947,266.61069513165194,140.14643534894398,99.71989504681345,154.3481895352897,410.90007852019244,276.0772948851751,391.4646007588179,282.86087679635494,102.30996952125051,180.05807653706603,339.7328552170824,15.477692409848155
Subject05,113.8240971018259,74.02334037726301,108.84525631753293,120.83692676628165,65.86935210526411,59.36421485851908,121.91561022418233,215.8841008326425,212.0392264788849,354.4897597433312,162.80969437237746,385.4659413260499,778.4966290419454,1658.7057478116533,2399.319988837432,2550.262175010621,106.73270067636076,170.66789314652968,1284.1043100477664,15.699173720286705
Subject04,66.93476120817944,87.54212766662192,120.06576200610264,102.61300641576156,65.06536965778388,91.97941836407597,112.26046339401616,90.55592702474947,266.61069513165194,140.14643534894398,99.71989504681345,154.3481895352897,410.90007852019244,276.0772948851751,391.4646007588179,282.86087679635494,102.30996952125051,180.05807653706603,339.7328552170824,15.477692409848155
Subject05,113.8240971018259,74.02334037726301,108.84525631753293,120.83692676628165,65.86935210526411,59.36421485851908,121.91561022418233,215.8841008326425,212.0392264788849,354.4897597433312,162.80969437237746,385.4659413260499,778.4966290419454,1658.7057478116533,2399.319988837432,2550.262175010621,106.73270067636076,170.66789314652968,1284.1043100477664,15.699173720286705
Subject04,66.93476120817944,87.54212766662192,120.06576200610264,102.61300641576156,65.06536965778388,91.97941836407597,112.26046339401616,90.55592702474947,266.61069513165194,140.14643534894398,99.71989504681345,154.3481895352897,410.90007852019244,276.0772948851751,391.4646007588179,282.86087679635494,102.30996952125051,180.05807653706603,339.7328552170824,15.477692409848155
Subject05,113.8240971018259,74.02334037726301,108.84525631753293,120.83692676628165,65.86935210526411,59.36421485851908,121.91561022418233,215.8841008326425,212.0392264788849,354.4897597433312,162.80969437237746,385.4659413260499,778.4966290419454,1658.7057478116533,2399.319988837432,2550.262175010621,106.73270067636076,170.66789314652968,1284.1043100477664,15.699173720286705
Subject04,66.93476120817944,87.54212766662192,120.06576200610264,102.61300641576156,65.06536965778388,91.97941836407597,112.26046339401616,90.55592702474947,266.61069513165194,140.14643534894398,99.71989504681345,154.3481895352897,410.90007852019244,276.0772948851751,391.4646007588179,282.86087679635494,102.30996952125051,180.05807653706603,339.7328552170824,15.477692409848155
Subject05,113.8240971018259,74.02334037726301,108.84525631753293,120.83692676628165,65.86935210526411,59.36421485851908,121.91561022418233,215.8841008326425,212.0392264788849,354.4897597433312,162.80969437237746,385.4659413260499,778.4966290419454,1658.7057478116533,2399.319988837432,2550.262175010621,106.73270067636076,170.66789314652968,1284.1043100477664,15.699173720286705
Subject05,113.8240971018259,74.02334037726301,108.84525631753293,120.83692676628165,65.86935210526411,59.36421485851908,121.91561022418233,215.8841008326425,212.0392264788849,354.4897597433312,162.80969437237746,385.4659413260499,778.4966290419454,1658.7057478116533,2399.319988837432,2550.262175010621,106.73270067636076,170.66789314652968,1284.1043100477664,15.699173720286705
Subject06,26.2260708363731,29.76019916136242,37.653050672427504,47.1254592968874,30.172871862380774,33.767525515477345,33.61655203807543,121.00378804673585,49.54633963660725,80.57161904010582,49.24328019382254,217.48279977243692,161.82963861144398,195.39236016030898,239.2587203410973,245.0034908419018,44.734192686881954,52.09614148968682,184.83329917233323,26.200444201593175
