,EEG Fp1,EEG Fp2,EEG F3,EEG F4,EEG F7,EEG F8,EEG T3,EEG T4,EEG C3,EEG C4,EEG T5,EEG T6,EEG P3,EEG P4,EEG O1,EEG O2,EEG Fz,EEG Cz,EEG Pz,EEG A2-A1
Subject04,915.2891283663454,3292.335629839874,1384.8694645371147,1552.8030367077959,969.1705374216227,4199.775847995115,2086.9703538681083,1427.5238083032039,1083.3365953029875,1123.0056009346235,970.744698325396,3028.3143386003244,1069.4403836098481,1159.8360490022114,815.5366247980023,927.1659824391619,1100.0827786776208,1030.5826120543281,814.2273385334194,287.00042634612254
Subject05,3497.28705742129,276.4233441570889,629.127510143597,391.26372621608726,1073.3919007542675,1434.0363662332857,526.0462763401705,319.9650659563215,322.19778745786783,306.2342035499478,203.875150053944,248.78969592322227,370.3596622713892,334.07625281113076,273.60156505101105,408.97527802444733,695.1430894365056,238.73414612236155,790.763928589796,183.07756394345813
Subject04,915.2891283663454,3292.335629839874,1384.8694645371147,1552.8030367077959,969.1705374216227,4199.775847995115,2086.9703538681083,1427.5238083032039,1083.3365953029875,1123.0056009346235,970.744698325396,3028.3143386003244,1069.4403836098481,1159.8360490022114,815.5366247980023,927.1659824391619,1100.0827786776208,1030.5826120543281,814.2273385334194,287.00042634612254
Subject05,3497.28705742129,276.4233441570889,629.127510143597,391.26372621608726,1073.3919007542675,1434.0363662332857,526.0462763401705,319.9650659563215,322.19778745786783,306.2342035499478,203.875150053944,248.78969592322227,370.3596622713892,334.07625281113076,273.60156505101105,408.97527802444733,695.1430894365056,238.73414612236155,790.763928589796,183.07756394345813
Subject04,915.2891283663454,3292.335629839874,1384.8694645371147,1552.8030367077959,969.1705374216227,4199.775847995115,2086.9703538681083,1427.5238083032039,1083.3365953029875,1123.0056009346235,970.744698325396,3028.3143386003244,1069.4403836098481,1159.8360490022114,815.5366247980023,927.1659824391619,1100.0827786776208,1030.5826120543281,814.2273385334194,287.00042634612254
Subject05,3497.28705742129,276.4233441570889,629.127510143597,391.26372621608726,1073.3919007542675,1434.0363662332857,526.0462763401705,319.9650659563215,322.19778745786783,306.2342035499478,203.875150053944,248.78969592322227,370.3596622713892,334.07625281113076,273.60156505101105,408.97527802444733,695.1430894365056,238.73414612236155,790.763928589796,183.07756394345813
Subject04,915.2891283663454,3292.335629839874,1384.8694645371147,1552.8030367077959,969.1705374216227,4199.775847995115,2086.9703538681083,1427.5238083032039,1083.3365953029875,1123.0056009346235,970.744698325396,3028.3143386003244,1069.4403836098481,1159.8360490022114,815.5366247980023,927.1659824391619,1100.0827786776208,1030.5826120543281,814.2273385334194,287.00042634612254
Subject05,3497.28705742129,276.4233441570889,629.127510143597,391.26372621608726,1073.3919007542675,1434.0363662332857,526.0462763401705,319.9650659563215,322.19778745786783,306.2342035499478,203.875150053944,248.78969592322227,370.3596622713892,334.07625281113076,273.60156505101105,408.97527802444733,695.1430894365056,238.73414612236155,790.763928589796,183.07756394345813
Subject04,915.2891283663454,3292.335629839874,1384.8694645371147,1552.8030367077959,969.1705374216227,4199.775847995115,2086.9703538681083,1427.5238083032039,1083.3365953029875,1123.0056009346235,970.744698325396,3028.3143386003244,1069.4403836098481,1159.8360490022114,815.5366247980023,927.1659824391619,1100.0827786776208,1030.5826120543281,814.2273385334194,287.00042634612254
Subject05,3497.28705742129,276.4233441570889,629.127510143597,391.26372621608726,1073.3919007542675,1434.0363662332857,526.0462763401705,319.9650659563215,322.19778745786783,306.2342035499478,203.875150053944,248.78969592322227,370.3596622713892,334.07625281113076,273.60156505101105,408.97527802444733,695.1430894365056,238.73414612236155,790.763928589796,183.07756394345813
Subject04,915.2891283663454,3292.335629839874,1384.8694645371147,1552.8030367077959,969.1705374216227,4199.775847995115,2086.9703538681083,1427.5238083032039,1083.3365953029875,1123.0056009346235,970.744698325396,3028.3143386003244,1069.4403836098481,1159.8360490022114,815.5366247980023,927.1659824391619,1100.0827786776208,1030.5826120543281,814.2273385334194,287.00042634612254
Subject05,3497.28705742129,276.4233441570889,629.127510143597,391.26372621608726,1073.3919007542675,1434.0363662332857,526.0462763401705,319.9650659563215,322.19778745786783,306.2342035499478,203.875150053944,248.78969592322227,370.3596622713892,334.07625281113076,273.60156505101105,408.97527802444733,695.1430894365056,238.73414612236155,790.763928589796,183.07756394345813
Subject04,915.2891283663454,3292.335629839874,1384.8694645371147,1552.8030367077959,969.1705374216227,4199.775847995115,2086.9703538681083,1427.5238083032039,1083.3365953029875,1123.0056009346235,970.744698325396,3028.3143386003244,1069.4403836098481,1159.8360490022114,815.5366247980023,927.1659824391619,1100.0827786776208,1030.5826120543281,814.2273385334194,287.00042634612254
Subject05,3497.28705742129,276.4233441570889,629.127510143597,391.26372621608726,1073.3919007542675,1434.0363662332857,526.0462763401705,319.9650659563215,322.19778745786783,306.2342035499478,203.875150053944,248.78969592322227,370.3596622713892,334.07625281113076,273.60156505101105,408.97527802444733,695.1430894365056,238.73414612236155,790.763928589796,183.07756394345813
Subject05,3497.28705742129,276.4233441570889,629.127510143597,391.26372621608726,1073.3919007542675,1434.0363662332857,526.0462763401705,319.9650659563215,322.19778745786783,306.2342035499478,203.875150053944,248.78969592322227,370.3596622713892,334.07625281113076,273.60156505101105,408.97527802444733,695.1430894365056,238.73414612236155,790.763928589796,183.07756394345813
Subject06,281.90013108985505,365.7404435119624,1162.0872581536732,319.1802095588908,637.5776034498687,322.4288581078122,290.95601979192963,232.7877735727245,271.5702798755405,209.95019560511435,197.53434615875716,190.84553078177439,284.9965674045379,316.2741421467139,231.383903190296,240.76491300860388,394.1702219963984,214.05417974542368,240.0005259657405,82.52764909134692
