,EEG Fp1,EEG Fp2,EEG F3,EEG F4,EEG F7,EEG F8,EEG T3,EEG T4,EEG C3,EEG C4,EEG T5,EEG T6,EEG P3,EEG P4,EEG O1,EEG O2,EEG Fz,EEG Cz,EEG Pz,EEG A2-A1
Subject04,56.683769853453704,58.12432920065172,87.56260668519985,78.51041162545965,51.264607398446095,58.98000335203284,59.61606362233455,49.31037392886547,82.34910093523463,80.43489105669029,49.985887792668585,50.41310841523894,78.90724070527854,63.16750906131407,60.985635358843176,57.41379224262583,86.3096788339049,75.26522291141201,56.415969988111705,9.24747716289824
Subject05,47.90785346661262,22.233262460164195,34.35517192061457,38.694534556284765,15.032720351926919,19.496398223178176,24.36975755278976,27.636289512663975,35.654562196747214,35.543299321187945,12.354127044715021,31.536460523148353,32.41530703732105,45.8571675167018,34.85951927800234,33.52271952987735,38.803046945780764,33.69287587815552,55.835068845510435,6.439668210648637
Subject04,56.683769853453704,58.12432920065172,87.56260668519985,78.51041162545965,51.264607398446095,58.98000335203284,59.61606362233455,49.31037392886547,82.34910093523463,80.43489105669029,49.985887792668585,50.41310841523894,78.90724070527854,63.16750906131407,60.985635358843176,57.41379224262583,86.3096788339049,75.26522291141201,56.415969988111705,9.24747716289824
Subject05,47.90785346661262,22.233262460164195,34.35517192061457,38.694534556284765,15.032720351926919,19.496398223178176,24.36975755278976,27.636289512663975,35.654562196747214,35.543299321187945,12.354127044715021,31.536460523148353,32.41530703732105,45.8571675167018,34.85951927800234,33.52271952987735,38.803046945780764,33.69287587815552,55.835068845510435,6.439668210648637
Subject04,56.683769853453704,58.12432920065172,87.56260668519985,78.51041162545965,51.264607398446095,58.98000335203284,59.61606362233455,49.31037392886547,82.34910093523463,80.43489105669029,49.985887792668585,50.41310841523894,78.90724070527854,63.16750906131407,60.985635358843176,57.41379224262583,86.3096788339049,75.26522291141201,56.415969988111705,9.24747716289824
Subject05,47.90785346661262,22.233262460164195,34.35517192061457,38.694534556284765,15.032720351926919,19.496398223178176,24.36975755278976,27.636289512663975,35.654562196747214,35.543299321187945,12.354127044715021,31.536460523148353,32.41530703732105,45.8571675167018,34.85951927800234,33.52271952987735,38.803046945780764,33.69287587815552,55.835068845510435,6.439668210648637
Subject04,56.683769853453704,58.12432920065172,87.56260668519985,78.51041162545965,51.264607398446095,58.98000335203284,59.61606362233455,49.31037392886547,82.34910093523463,80.43489105669029,49.985887792668585,50.41310841523894,78.90724070527854,63.16750906131407,60.985635358843176,57.41379224262583,86.3096788339049,75.26522291141201,56.415969988111705,9.24747716289824
Subject05,47.90785346661262,22.233262460164195,34.35517192061457,38.694534556284765,15.032720351926919,19.496398223178176,24.36975755278976,27.636289512663975,35.654562196747214,35.543299321187945,12.354127044715021,31.536460523148353,32.41530703732105,45.8571675167018,34.85951927800234,33.52271952987735,38.803046945780764,33.69287587815552,55.835068845510435,6.439668210648637
Subject04,56.683769853453704,58.12432920065172,87.56260668519985,78.51041162545965,51.264607398446095,58.98000335203284,59.61606362233455,49.31037392886547,82.34910093523463,80.43489105669029,49.985887792668585,50.41310841523894,78.90724070527854,63.16750906131407,60.985635358843176,57.41379224262583,86.3096788339049,75.26522291141201,56.415969988111705,9.24747716289824
Subject05,47.90785346661262,22.233262460164195,34.35517192061457,38.694534556284765,15.032720351926919,19.496398223178176,24.36975755278976,27.636289512663975,35.654562196747214,35.543299321187945,12.354127044715021,31.536460523148353,32.41530703732105,45.8571675167018,34.85951927800234,33.52271952987735,38.803046945780764,33.69287587815552,55.835068845510435,6.439668210648637
Subject04,56.683769853453704,58.12432920065172,87.56260668519985,78.51041162545965,51.264607398446095,58.98000335203284,59.61606362233455,49.31037392886547,82.34910093523463,80.43489105669029,49.985887792668585,50.41310841523894,78.90724070527854,63.16750906131407,60.985635358843176,57.41379224262583,86.3096788339049,75.26522291141201,56.415969988111705,9.24747716289824
Subject05,47.90785346661262,22.233262460164195,34.35517192061457,38.694534556284765,15.032720351926919,19.496398223178176,24.36975755278976,27.636289512663975,35.654562196747214,35.543299321187945,12.354127044715021,31.536460523148353,32.41530703732105,45.8571675167018,34.85951927800234,33.52271952987735,38.803046945780764,33.69287587815552,55.835068845510435,6.439668210648637
Subject04,56.683769853453704,58.12432920065172,87.56260668519985,78.51041162545965,51.264607398446095,58.98000335203284,59.61606362233455,49.31037392886547,82.34910093523463,80.43489105669029,49.985887792668585,50.41310841523894,78.90724070527854,63.16750906131407,60.985635358843176,57.41379224262583,86.3096788339049,75.26522291141201,56.415969988111705,9.24747716289824
Subject05,47.90785346661262,22.233262460164195,34.35517192061457,38.694534556284765,15.032720351926919,19.496398223178176,24.36975755278976,27.636289512663975,35.654562196747214,35.543299321187945,12.354127044715021,31.536460523148353,32.41530703732105,45.8571675167018,34.85951927800234,33.52271952987735,38.803046945780764,33.69287587815552,55.835068845510435,6.439668210648637
Subject05,47.90785346661262,22.233262460164195,34.35517192061457,38.694534556284765,15.032720351926919,19.496398223178176,24.36975755278976,27.636289512663975,35.654562196747214,35.543299321187945,12.354127044715021,31.536460523148353,32.41530703732105,45.8571675167018,34.85951927800234,33.52271952987735,38.803046945780764,33.69287587815552,55.835068845510435,6.439668210648637
Subject06,17.10585521719483,23.619815186492655,36.56457895609602,26.024794112703805,24.340034906461657,19.489556775209618,15.8264764827225,18.07860853382679,17.49034887153825,19.426324198285748,11.98972585885096,13.469085371882421,13.952488401033568,18.323433514276182,15.444718889418777,18.602987826228585,27.425872395412483,20.10261780408932,16.581085898376468,4.550896813339463
