,EEG Fp1,EEG Fp2,EEG F3,EEG F4,EEG F7,EEG F8,EEG T3,EEG T4,EEG C3,EEG C4,EEG T5,EEG T6,EEG P3,EEG P4,EEG O1,EEG O2,EEG Fz,EEG Cz,EEG Pz,EEG A2-A1
Subject04,122.01357024780411,110.67494078923067,176.63795102200893,142.6844440055064,102.3683134919022,118.11200758037519,110.23189573288064,120.896290038396,151.42839260359756,191.05324350503682,83.65064597423138,102.84966232720225,141.416184718273,140.95498045378673,100.256615645505,107.2386026365841,165.89696301379627,176.09427102987712,121.68190376277843,13.982930908662283
Subject05,123.84319605593821,59.821307252137785,70.68038287538448,74.12992380815231,28.09478136309013,45.549628338271276,42.64179772583867,45.3079970517995,71.52360759984107,80.34334389488944,25.190381221640326,78.05489599998016,66.09913805380938,86.89321124077041,53.72834281460319,56.86615761636551,68.48171777349177,76.18327384144511,87.2630191656303,18.914481005613595
Subject04,122.01357024780411,110.67494078923067,176.63795102200893,142.6844440055064,102.3683134919022,118.11200758037519,110.23189573288064,120.896290038396,151.42839260359756,191.05324350503682,83.65064597423138,102.84966232720225,141.416184718273,140.95498045378673,100.256615645505,107.2386026365841,165.89696301379627,176.09427102987712,121.68190376277843,13.982930908662283
Subject05,123.84319605593821,59.821307252137785,70.68038287538448,74.12992380815231,28.09478136309013,45.549628338271276,42.64179772583867,45.3079970517995,71.52360759984107,80.34334389488944,25.190381221640326,78.05489599998016,66.09913805380938,86.89321124077041,53.72834281460319,56.86615761636551,68.48171777349177,76.18327384144511,87.2630191656303,18.914481005613595
Subject04,122.01357024780411,110.67494078923067,176.63795102200893,142.6844440055064,102.3683134919022,118.11200758037519,110.23189573288064,120.896290038396,151.42839260359756,191.05324350503682,83.65064597423138,102.84966232720225,141.416184718273,140.95498045378673,100.256615645505,107.2386026365841,165.89696301379627,176.09427102987712,121.68190376277843,13.982930908662283
Subject05,123.84319605593821,59.821307252137785,70.68038287538448,74.12992380815231,28.09478136309013,45.549628338271276,42.64179772583867,45.3079970517995,71.52360759984107,80.34334389488944,25.190381221640326,78.05489599998016,66.09913805380938,86.89321124077041,53.72834281460319,56.86615761636551,68.48171777349177,76.18327384144511,87.2630191656303,18.914481005613595
Subject04,122.01357024780411,110.67494078923067,176.63795102200893,142.6844440055064,102.3683134919022,118.11200758037519,110.23189573288064,120.896290038396,151.42839260359756,191.05324350503682,83.65064597423138,102.84966232720225,141.416184718273,140.95498045378673,100.256615645505,107.2386026365841,165.89696301379627,176.09427102987712,121.68190376277843,13.982930908662283
Subject05,123.84319605593821,59.821307252137785,70.68038287538448,74.12992380815231,28.09478136309013,45.549628338271276,42.64179772583867,45.3079970517995,71.52360759984107,80.34334389488944,25.190381221640326,78.05489599998016,66.09913805380938,86.89321124077041,53.72834281460319,56.86615761636551,68.48171777349177,76.18327384144511,87.2630191656303,18.914481005613595
Subject04,122.01357024780411,110.67494078923067,176.63795102200893,142.6844440055064,102.3683134919022,118.11200758037519,110.23189573288064,120.896290038396,151.42839260359756,191.05324350503682,83.65064597423138,102.84966232720225,141.416184718273,140.95498045378673,100.256615645505,107.2386026365841,165.89696301379627,176.09427102987712,121.68190376277843,13.982930908662283
Subject05,123.84319605593821,59.821307252137785,70.68038287538448,74.12992380815231,28.09478136309013,45.549628338271276,42.64179772583867,45.3079970517995,71.52360759984107,80.34334389488944,25.190381221640326,78.05489599998016,66.09913805380938,86.89321124077041,53.72834281460319,56.86615761636551,68.48171777349177,76.18327384144511,87.2630191656303,18.914481005613595
Subject04,122.01357024780411,110.67494078923067,176.63795102200893,142.6844440055064,102.3683134919022,118.11200758037519,110.23189573288064,120.896290038396,151.42839260359756,191.05324350503682,83.65064597423138,102.84966232720225,141.416184718273,140.95498045378673,100.256615645505,107.2386026365841,165.89696301379627,176.09427102987712,121.68190376277843,13.982930908662283
Subject05,123.84319605593821,59.821307252137785,70.68038287538448,74.12992380815231,28.09478136309013,45.549628338271276,42.64179772583867,45.3079970517995,71.52360759984107,80.34334389488944,25.190381221640326,78.05489599998016,66.09913805380938,86.89321124077041,53.72834281460319,56.86615761636551,68.48171777349177,76.18327384144511,87.2630191656303,18.914481005613595
Subject04,122.01357024780411,110.67494078923067,176.63795102200893,142.6844440055064,102.3683134919022,118.11200758037519,110.23189573288064,120.896290038396,151.42839260359756,191.05324350503682,83.65064597423138,102.84966232720225,141.416184718273,140.95498045378673,100.256615645505,107.2386026365841,165.89696301379627,176.09427102987712,121.68190376277843,13.982930908662283
Subject05,123.84319605593821,59.821307252137785,70.68038287538448,74.12992380815231,28.09478136309013,45.549628338271276,42.64179772583867,45.3079970517995,71.52360759984107,80.34334389488944,25.190381221640326,78.05489599998016,66.09913805380938,86.89321124077041,53.72834281460319,56.86615761636551,68.48171777349177,76.18327384144511,87.2630191656303,18.914481005613595
Subject05,123.84319605593821,59.821307252137785,70.68038287538448,74.12992380815231,28.09478136309013,45.549628338271276,42.64179772583867,45.3079970517995,71.52360759984107,80.34334389488944,25.190381221640326,78.05489599998016,66.09913805380938,86.89321124077041,53.72834281460319,56.86615761636551,68.48171777349177,76.18327384144511,87.2630191656303,18.914481005613595
Subject06,35.36070829895414,46.65358187522166,73.20324307028596,59.50402735262066,53.883206155656296,34.72534842117889,35.699796335280276,30.242453162976602,29.96957927894629,34.167958874155744,20.228705751375326,20.70203380103632,21.567811599917015,29.840180410412394,26.38315868997147,30.997743517326633,58.89084200085207,37.2093271078739,25.466766463540587,7.856631895285907
