,EEG Fp1,EEG Fp2,EEG F3,EEG F4,EEG F7,EEG F8,EEG T3,EEG T4,EEG C3,EEG C4,EEG T5,EEG T6,EEG P3,EEG P4,EEG O1,EEG O2,EEG Fz,EEG Cz,EEG Pz,EEG A2-A1
Subject04,44.992897979111035,43.48850539954897,45.28345455751163,49.53157606755448,24.245747413154078,42.692077141628744,39.269275522645906,59.60633258937436,84.72882574237326,72.88542517438559,31.74630917706,82.9215991653885,99.37873948348332,106.62290809077217,85.61557462644384,98.58659768900642,47.13871514606862,61.134253179672314,78.35182524534164,3.101975553410284
Subject05,36.70266110798731,35.070364948073816,51.04004227552058,58.28889949630465,28.69593508264563,27.18343930575553,31.734993662466785,53.84092501439047,57.44277383393944,79.83431394058198,30.602105811197127,148.0752687858124,124.85099153279832,304.2207739948767,421.47830010970824,535.5765610898445,56.56386576523305,63.543928453071445,191.39954022581833,7.098812514081852
Subject04,44.992897979111035,43.48850539954897,45.28345455751163,49.53157606755448,24.245747413154078,42.692077141628744,39.269275522645906,59.60633258937436,84.72882574237326,72.88542517438559,31.74630917706,82.9215991653885,99.37873948348332,106.62290809077217,85.61557462644384,98.58659768900642,47.13871514606862,61.134253179672314,78.35182524534164,3.101975553410284
Subject05,36.70266110798731,35.070364948073816,51.04004227552058,58.28889949630465,28.69593508264563,27.18343930575553,31.734993662466785,53.84092501439047,57.44277383393944,79.83431394058198,30.602105811197127,148.0752687858124,124.85099153279832,304.2207739948767,421.47830010970824,535.5765610898445,56.56386576523305,63.543928453071445,191.39954022581833,7.098812514081852
Subject04,44.992897979111035,43.48850539954897,45.28345455751163,49.53157606755448,24.245747413154078,42.692077141628744,39.269275522645906,59.60633258937436,84.72882574237326,72.88542517438559,31.74630917706,82.9215991653885,99.37873948348332,106.62290809077217,85.61557462644384,98.58659768900642,47.13871514606862,61.134253179672314,78.35182524534164,3.101975553410284
Subject05,36.70266110798731,35.070364948073816,51.04004227552058,58.28889949630465,28.69593508264563,27.18343930575553,31.734993662466785,53.84092501439047,57.44277383393944,79.83431394058198,30.602105811197127,148.0752687858124,124.85099153279832,304.2207739948767,421.47830010970824,535.5765610898445,56.56386576523305,63.543928453071445,191.39954022581833,7.098812514081852
Subject04,44.992897979111035,43.48850539954897,45.28345455751163,49.53157606755448,24.245747413154078,42.692077141628744,39.269275522645906,59.60633258937436,84.72882574237326,72.88542517438559,31.74630917706,82.9215991653885,99.37873948348332,106.62290809077217,85.61557462644384,98.58659768900642,47.13871514606862,61.134253179672314,78.35182524534164,3.101975553410284
Subject05,36.70266110798731,35.070364948073816,51.04004227552058,58.28889949630465,28.69593508264563,27.18343930575553,31.734993662466785,53.84092501439047,57.44277383393944,79.83431394058198,30.602105811197127,148.0752687858124,124.85099153279832,304.2207739948767,421.47830010970824,535.5765610898445,56.56386576523305,63.543928453071445,191.39954022581833,7.098812514081852
Subject04,44.992897979111035,43.48850539954897,45.28345455751163,49.53157606755448,24.245747413154078,42.692077141628744,39.269275522645906,59.60633258937436,84.72882574237326,72.88542517438559,31.74630917706,82.9215991653885,99.37873948348332,106.62290809077217,85.61557462644384,98.58659768900642,47.13871514606862,61.134253179672314,78.35182524534164,3.101975553410284
Subject05,36.70266110798731,35.070364948073816,51.04004227552058,58.28889949630465,28.69593508264563,27.18343930575553,31.734993662466785,53.84092501439047,57.44277383393944,79.83431394058198,30.602105811197127,148.0752687858124,124.85099153279832,304.2207739948767,421.47830010970824,535.5765610898445,56.56386576523305,63.543928453071445,191.39954022581833,7.098812514081852
Subject04,44.992897979111035,43.48850539954897,45.28345455751163,49.53157606755448,24.245747413154078,42.692077141628744,39.269275522645906,59.60633258937436,84.72882574237326,72.88542517438559,31.74630917706,82.9215991653885,99.37873948348332,106.62290809077217,85.61557462644384,98.58659768900642,47.13871514606862,61.134253179672314,78.35182524534164,3.101975553410284
Subject05,36.70266110798731,35.070364948073816,51.04004227552058,58.28889949630465,28.69593508264563,27.18343930575553,31.734993662466785,53.84092501439047,57.44277383393944,79.83431394058198,30.602105811197127,148.0752687858124,124.85099153279832,304.2207739948767,421.47830010970824,535.5765610898445,56.56386576523305,63.543928453071445,191.39954022581833,7.098812514081852
Subject04,44.992897979111035,43.48850539954897,45.28345455751163,49.53157606755448,24.245747413154078,42.692077141628744,39.269275522645906,59.60633258937436,84.72882574237326,72.88542517438559,31.74630917706,82.9215991653885,99.37873948348332,106.62290809077217,85.61557462644384,98.58659768900642,47.13871514606862,61.134253179672314,78.35182524534164,3.101975553410284
Subject05,36.70266110798731,35.070364948073816,51.04004227552058,58.28889949630465,28.69593508264563,27.18343930575553,31.734993662466785,53.84092501439047,57.44277383393944,79.83431394058198,30.602105811197127,148.0752687858124,124.85099153279832,304.2207739948767,421.47830010970824,535.5765610898445,56.56386576523305,63.543928453071445,191.39954022581833,7.098812514081852
Subject05,36.70266110798731,35.070364948073816,51.04004227552058,58.28889949630465,28.69593508264563,27.18343930575553,31.734993662466785,53.84092501439047,57.44277383393944,79.83431394058198,30.602105811197127,148.0752687858124,124.85099153279832,304.2207739948767,421.47830010970824,535.5765610898445,56.56386576523305,63.543928453071445,191.39954022581833,7.098812514081852
Subject06,15.055035296892939,11.145927422829036,18.64639541037351,15.328469014929949,7.43254821643022,8.655320966896818,7.7398425411179685,11.925578041415497,11.739013189123497,13.197809130653141,6.937609702856072,14.803908963010425,11.292095034909387,16.036309394814257,11.754698110926292,23.336992122667077,15.053540739528128,14.431789569614413,14.999227023449727,1.829038538333808
