,EEG Fp1,EEG Fp2,EEG F3,EEG F4,EEG F7,EEG F8,EEG T3,EEG T4,EEG C3,EEG C4,EEG T5,EEG T6,EEG P3,EEG P4,EEG O1,EEG O2,EEG Fz,EEG Cz,EEG Pz,EEG A2-A1
Subject04,148.41741716982335,140.9927242805387,87.54548891562018,124.9572271866052,42.16134192265064,144.1575722945992,103.12568963456995,117.60890907454407,275.84654334397874,122.85098525040073,55.3473872731022,164.17043323551442,182.82819145762528,206.56546864893602,162.7441580337325,194.58053623946236,115.55899188657348,106.96272324742147,157.79503554574936,5.082945149958289
Subject05,110.90944435597574,100.89746853380677,133.07761836351938,136.07722261871874,77.0842860014114,75.5763379706014,69.53452865977589,99.81464255871704,118.25615241145644,154.43941494672873,74.80225086394381,481.35558898919766,425.5521695408063,1033.26544471363,2492.5932152231258,2990.0812088150674,133.21153725680256,119.40829859671916,717.5051903245654,14.063117167059168
Subject04,148.41741716982335,140.9927242805387,87.54548891562018,124.9572271866052,42.16134192265064,144.1575722945992,103.12568963456995,117.60890907454407,275.84654334397874,122.85098525040073,55.3473872731022,164.17043323551442,182.82819145762528,206.56546864893602,162.7441580337325,194.58053623946236,115.55899188657348,106.96272324742147,157.79503554574936,5.082945149958289
Subject05,110.90944435597574,100.89746853380677,133.07761836351938,136.07722261871874,77.0842860014114,75.5763379706014,69.53452865977589,99.81464255871704,118.25615241145644,154.43941494672873,74.80225086394381,481.35558898919766,425.5521695408063,1033.26544471363,2492.5932152231258,2990.0812088150674,133.21153725680256,119.40829859671916,717.5051903245654,14.063117167059168
Subject04,148.41741716982335,140.9927242805387,87.54548891562018,124.9572271866052,42.16134192265064,144.1575722945992,103.12568963456995,117.60890907454407,275.84654334397874,122.85098525040073,55.3473872731022,164.17043323551442,182.82819145762528,206.56546864893602,162.7441580337325,194.58053623946236,115.55899188657348,106.96272324742147,157.79503554574936,5.082945149958289
Subject05,110.90944435597574,100.89746853380677,133.07761836351938,136.07722261871874,77.0842860014114,75.5763379706014,69.53452865977589,99.81464255871704,118.25615241145644,154.43941494672873,74.80225086394381,481.35558898919766,425.5521695408063,1033.26544471363,2492.5932152231258,2990.0812088150674,133.21153725680256,119.40829859671916,717.5051903245654,14.063117167059168
Subject04,148.41741716982335,140.9927242805387,87.54548891562018,124.9572271866052,42.16134192265064,144.1575722945992,103.12568963456995,117.60890907454407,275.84654334397874,122.85098525040073,55.3473872731022,164.17043323551442,182.82819145762528,206.56546864893602,162.7441580337325,194.58053623946236,115.55899188657348,106.96272324742147,157.79503554574936,5.082945149958289
Subject05,110.90944435597574,100.89746853380677,133.07761836351938,136.07722261871874,77.0842860014114,75.5763379706014,69.53452865977589,99.81464255871704,118.25615241145644,154.43941494672873,74.80225086394381,481.35558898919766,425.5521695408063,1033.26544471363,2492.5932152231258,2990.0812088150674,133.21153725680256,119.40829859671916,717.5051903245654,14.063117167059168
Subject04,148.41741716982335,140.9927242805387,87.54548891562018,124.9572271866052,42.16134192265064,144.1575722945992,103.12568963456995,117.60890907454407,275.84654334397874,122.85098525040073,55.3473872731022,164.17043323551442,182.82819145762528,206.56546864893602,162.7441580337325,194.58053623946236,115.55899188657348,106.96272324742147,157.79503554574936,5.082945149958289
Subject05,110.90944435597574,100.89746853380677,133.07761836351938,136.07722261871874,77.0842860014114,75.5763379706014,69.53452865977589,99.81464255871704,118.25615241145644,154.43941494672873,74.80225086394381,481.35558898919766,425.5521695408063,1033.26544471363,2492.5932152231258,2990.0812088150674,133.21153725680256,119.40829859671916,717.5051903245654,14.063117167059168
Subject04,148.41741716982335,140.9927242805387,87.54548891562018,124.9572271866052,42.16134192265064,144.1575722945992,103.12568963456995,117.60890907454407,275.84654334397874,122.85098525040073,55.3473872731022,164.17043323551442,182.82819145762528,206.56546864893602,162.7441580337325,194.58053623946236,115.55899188657348,106.96272324742147,157.79503554574936,5.082945149958289
Subject05,110.90944435597574,100.89746853380677,133.07761836351938,136.07722261871874,77.0842860014114,75.5763379706014,69.53452865977589,99.81464255871704,118.25615241145644,154.43941494672873,74.80225086394381,481.35558898919766,425.5521695408063,1033.26544471363,2492.5932152231258,2990.0812088150674,133.21153725680256,119.40829859671916,717.5051903245654,14.063117167059168
Subject04,148.41741716982335,140.9927242805387,87.54548891562018,124.9572271866052,42.16134192265064,144.1575722945992,103.12568963456995,117.60890907454407,275.84654334397874,122.85098525040073,55.3473872731022,164.17043323551442,182.82819145762528,206.56546864893602,162.7441580337325,194.58053623946236,115.55899188657348,106.96272324742147,157.79503554574936,5.082945149958289
Subject05,110.90944435597574,100.89746853380677,133.07761836351938,136.07722261871874,77.0842860014114,75.5763379706014,69.53452865977589,99.81464255871704,118.25615241145644,154.43941494672873,74.80225086394381,481.35558898919766,425.5521695408063,1033.26544471363,2492.5932152231258,2990.0812088150674,133.21153725680256,119.40829859671916,717.5051903245654,14.063117167059168
Subject05,110.90944435597574,100.89746853380677,133.07761836351938,136.07722261871874,77.0842860014114,75.5763379706014,69.53452865977589,99.81464255871704,118.25615241145644,154.43941494672873,74.80225086394381,481.35558898919766,425.5521695408063,1033.26544471363,2492.5932152231258,2990.0812088150674,133.21153725680256,119.40829859671916,717.5051903245654,14.063117167059168
Subject06,21.604669258046624,18.552454999705656,28.31181194763869,28.122150248334954,13.267111404035473,13.57805635746143,12.452057422021909,24.485243515217537,21.027406434711605,19.962207650281805,11.839536393694056,36.38737485344721,20.151004946771025,36.25674124910277,20.151483584491206,59.70646738058179,26.777310389391555,23.758262356679232,30.305242471421742,3.9815902738076194
