,EEG Fp1,EEG Fp2,EEG F3,EEG F4,EEG F7,EEG F8,EEG T3,EEG T4,EEG C3,EEG C4,EEG T5,EEG T6,EEG P3,EEG P4,EEG O1,EEG O2,EEG Fz,EEG Cz,EEG Pz,EEG A2-A1
Subject04,142.68216020873112,842.4906523296769,211.47104770004944,261.0527497174197,192.82769031347962,586.9520700754921,128.73579449352974,242.4949651687183,240.1928893876195,216.48831668534467,143.29239914686045,301.23730835318577,202.12772003863176,219.7179954596025,208.94347909645032,210.19620956748818,232.26575838959707,237.608742829803,209.11708442959767,27.468727824717668
Subject05,715.8999911130646,401.13349863337334,171.94863632001352,148.39915841531422,425.6083108823642,138.71953223793167,136.82883784647973,136.0590796071794,105.36633195624525,112.40979184364242,216.09697755194838,84.88593786402879,104.49002961885314,138.4674239369648,106.26954121244066,110.45002836840011,181.64203891272538,113.25450509066081,332.6692136907356,44.47498831773192
Subject04,142.68216020873112,842.4906523296769,211.47104770004944,261.0527497174197,192.82769031347962,586.9520700754921,128.73579449352974,242.4949651687183,240.1928893876195,216.48831668534467,143.29239914686045,301.23730835318577,202.12772003863176,219.7179954596025,208.94347909645032,210.19620956748818,232.26575838959707,237.608742829803,209.11708442959767,27.468727824717668
Subject05,715.8999911130646,401.13349863337334,171.94863632001352,148.39915841531422,425.6083108823642,138.71953223793167,136.82883784647973,136.0590796071794,105.36633195624525,112.40979184364242,216.09697755194838,84.88593786402879,104.49002961885314,138.4674239369648,106.26954121244066,110.45002836840011,181.64203891272538,113.25450509066081,332.6692136907356,44.47498831773192
Subject04,142.68216020873112,842.4906523296769,211.47104770004944,261.0527497174197,192.82769031347962,586.9520700754921,128.73579449352974,242.4949651687183,240.1928893876195,216.48831668534467,143.29239914686045,301.23730835318577,202.12772003863176,219.7179954596025,208.94347909645032,210.19620956748818,232.26575838959707,237.608742829803,209.11708442959767,27.468727824717668
Subject05,715.8999911130646,401.13349863337334,171.94863632001352,148.39915841531422,425.6083108823642,138.71953223793167,136.82883784647973,136.0590796071794,105.36633195624525,112.40979184364242,216.09697755194838,84.88593786402879,104.49002961885314,138.4674239369648,106.26954121244066,110.45002836840011,181.64203891272538,113.25450509066081,332.6692136907356,44.47498831773192
Subject04,142.68216020873112,842.4906523296769,211.47104770004944,261.0527497174197,192.82769031347962,586.9520700754921,128.73579449352974,242.4949651687183,240.1928893876195,216.48831668534467,143.29239914686045,301.23730835318577,202.12772003863176,219.7179954596025,208.94347909645032,210.19620956748818,232.26575838959707,237.608742829803,209.11708442959767,27.468727824717668
Subject05,715.8999911130646,401.13349863337334,171.94863632001352,148.39915841531422,425.6083108823642,138.71953223793167,136.82883784647973,136.0590796071794,105.36633195624525,112.40979184364242,216.09697755194838,84.88593786402879,104.49002961885314,138.4674239369648,106.26954121244066,110.45002836840011,181.64203891272538,113.25450509066081,332.6692136907356,44.47498831773192
Subject04,142.68216020873112,842.4906523296769,211.47104770004944,261.0527497174197,192.82769031347962,586.9520700754921,128.73579449352974,242.4949651687183,240.1928893876195,216.48831668534467,143.29239914686045,301.23730835318577,202.12772003863176,219.7179954596025,208.94347909645032,210.19620956748818,232.26575838959707,237.608742829803,209.11708442959767,27.468727824717668
Subject05,715.8999911130646,401.13349863337334,171.94863632001352,148.39915841531422,425.6083108823642,138.71953223793167,136.82883784647973,136.0590796071794,105.36633195624525,112.40979184364242,216.09697755194838,84.88593786402879,104.49002961885314,138.4674239369648,106.26954121244066,110.45002836840011,181.64203891272538,113.25450509066081,332.6692136907356,44.47498831773192
Subject04,142.68216020873112,842.4906523296769,211.47104770004944,261.0527497174197,192.82769031347962,586.9520700754921,128.73579449352974,242.4949651687183,240.1928893876195,216.48831668534467,143.29239914686045,301.23730835318577,202.12772003863176,219.7179954596025,208.94347909645032,210.19620956748818,232.26575838959707,237.608742829803,209.11708442959767,27.468727824717668
Subject05,715.8999911130646,401.13349863337334,171.94863632001352,148.39915841531422,425.6083108823642,138.71953223793167,136.82883784647973,136.0590796071794,105.36633195624525,112.40979184364242,216.09697755194838,84.88593786402879,104.49002961885314,138.4674239369648,106.26954121244066,110.45002836840011,181.64203891272538,113.25450509066081,332.6692136907356,44.47498831773192
Subject04,142.68216020873112,842.4906523296769,211.47104770004944,261.0527497174197,192.82769031347962,586.9520700754921,128.73579449352974,242.4949651687183,240.1928893876195,216.48831668534467,143.29239914686045,301.23730835318577,202.12772003863176,219.7179954596025,208.94347909645032,210.19620956748818,232.26575838959707,237.608742829803,209.11708442959767,27.468727824717668
Subject05,715.8999911130646,401.13349863337334,171.94863632001352,148.39915841531422,425.6083108823642,138.71953223793167,136.82883784647973,136.0590796071794,105.36633195624525,112.40979184364242,216.09697755194838,84.88593786402879,104.49002961885314,138.4674239369648,106.26954121244066,110.45002836840011,181.64203891272538,113.25450509066081,332.6692136907356,44.47498831773192
Subject05,715.8999911130646,401.13349863337334,171.94863632001352,148.39915841531422,425.6083108823642,138.71953223793167,136.82883784647973,136.0590796071794,105.36633195624525,112.40979184364242,216.09697755194838,84.88593786402879,104.49002961885314,138.4674239369648,106.26954121244066,110.45002836840011,181.64203891272538,113.25450509066081,332.6692136907356,44.47498831773192
Subject06,418.8614729219738,109.20444048691286,102.40337065627585,76.9804003814276,110.41820399950456,86.94620315757993,44.18675538114635,55.86116711418993,73.8531467792978,64.0873774089401,58.681111648453566,69.81593039982077,74.52380398647793,63.32803730583709,46.18023461097037,65.85863548902451,83.13317416651053,80.1493779811526,51.89575312671826,8.195620945520549
