,EEG Fp1,EEG Fp2,EEG F3,EEG F4,EEG F7,EEG F8,EEG T3,EEG T4,EEG C3,EEG C4,EEG T5,EEG T6,EEG P3,EEG P4,EEG O1,EEG O2,EEG Fz,EEG Cz,EEG Pz,EEG A2-A1
Subject04,471.0008926785181,4030.332645379038,559.7371864858743,892.9055997220826,1271.933127105045,2452.751292990452,447.20177677185774,684.7947627360944,781.0550107433859,630.3405271493126,470.3593721729236,1013.892441113615,827.4386352506061,854.1643985371941,974.0981898369448,962.156959604902,627.0212286805305,928.4193038557129,884.6916128866492,176.47734419988564
Subject05,3594.4791354238105,1973.2237449477404,755.0282449467921,641.8785668329476,2257.379865450726,575.4258380546393,633.7903846923344,502.2833322915805,406.46650329664067,389.54438065776634,1650.7295564484718,253.01226129924945,366.00802712842517,530.200769250309,388.90384476651957,411.57392032841005,753.965794867653,439.1801504269136,1310.9917547025236,221.44201978326473
Subject04,471.0008926785181,4030.332645379038,559.7371864858743,892.9055997220826,1271.933127105045,2452.751292990452,447.20177677185774,684.7947627360944,781.0550107433859,630.3405271493126,470.3593721729236,1013.892441113615,827.4386352506061,854.1643985371941,974.0981898369448,962.156959604902,627.0212286805305,928.4193038557129,884.6916128866492,176.47734419988564
Subject05,3594.4791354238105,1973.2237449477404,755.0282449467921,641.8785668329476,2257.379865450726,575.4258380546393,633.7903846923344,502.2833322915805,406.46650329664067,389.54438065776634,1650.7295564484718,253.01226129924945,366.00802712842517,530.200769250309,388.90384476651957,411.57392032841005,753.965794867653,439.1801504269136,1310.9917547025236,221.44201978326473
Subject04,471.0008926785181,4030.332645379038,559.7371864858743,892.9055997220826,1271.933127105045,2452.751292990452,447.20177677185774,684.7947627360944,781.0550107433859,630.3405271493126,470.3593721729236,1013.892441113615,827.4386352506061,854.1643985371941,974.0981898369448,962.156959604902,627.0212286805305,928.4193038557129,884.6916128866492,176.47734419988564
Subject05,3594.4791354238105,1973.2237449477404,755.0282449467921,641.8785668329476,2257.379865450726,575.4258380546393,633.7903846923344,502.2833322915805,406.46650329664067,389.54438065776634,1650.7295564484718,253.01226129924945,366.00802712842517,530.200769250309,388.90384476651957,411.57392032841005,753.965794867653,439.1801504269136,1310.9917547025236,221.44201978326473
Subject04,471.0008926785181,4030.332645379038,559.7371864858743,892.9055997220826,1271.933127105045,2452.751292990452,447.20177677185774,684.7947627360944,781.0550107433859,630.3405271493126,470.3593721729236,1013.892441113615,827.4386352506061,854.1643985371941,974.0981898369448,962.156959604902,627.0212286805305,928.4193038557129,884.6916128866492,176.47734419988564
Subject05,3594.4791354238105,1973.2237449477404,755.0282449467921,641.8785668329476,2257.379865450726,575.4258380546393,633.7903846923344,502.2833322915805,406.46650329664067,389.54438065776634,1650.7295564484718,253.01226129924945,366.00802712842517,530.200769250309,388.90384476651957,411.57392032841005,753.965794867653,439.1801504269136,1310.9917547025236,221.44201978326473
Subject04,471.0008926785181,4030.332645379038,559.7371864858743,892.9055997220826,1271.933127105045,2452.751292990452,447.20177677185774,684.7947627360944,781.0550107433859,630.3405271493126,470.3593721729236,1013.892441113615,827.4386352506061,854.1643985371941,974.0981898369448,962.156959604902,627.0212286805305,928.4193038557129,884.6916128866492,176.47734419988564
Subject05,3594.4791354238105,1973.2237449477404,755.0282449467921,641.8785668329476,2257.379865450726,575.4258380546393,633.7903846923344,502.2833322915805,406.46650329664067,389.54438065776634,1650.7295564484718,253.01226129924945,366.00802712842517,530.200769250309,388.90384476651957,411.57392032841005,753.965794867653,439.1801504269136,1310.9917547025236,221.44201978326473
Subject04,471.0008926785181,4030.332645379038,559.7371864858743,892.9055997220826,1271.933127105045,2452.751292990452,447.20177677185774,684.7947627360944,781.0550107433859,630.3405271493126,470.3593721729236,1013.892441113615,827.4386352506061,854.1643985371941,974.0981898369448,962.156959604902,627.0212286805305,928.4193038557129,884.6916128866492,176.47734419988564
Subject05,3594.4791354238105,1973.2237449477404,755.0282449467921,641.8785668329476,2257.379865450726,575.4258380546393,633.7903846923344,502.2833322915805,406.46650329664067,389.54438065776634,1650.7295564484718,253.01226129924945,366.00802712842517,530.200769250309,388.90384476651957,411.57392032841005,753.965794867653,439.1801504269136,1310.9917547025236,221.44201978326473
Subject04,471.0008926785181,4030.332645379038,559.7371864858743,892.9055997220826,1271.933127105045,2452.751292990452,447.20177677185774,684.7947627360944,781.0550107433859,630.3405271493126,470.3593721729236,1013.892441113615,827.4386352506061,854.1643985371941,974.0981898369448,962.156959604902,627.0212286805305,928.4193038557129,884.6916128866492,176.47734419988564
Subject05,3594.4791354238105,1973.2237449477404,755.0282449467921,641.8785668329476,2257.379865450726,575.4258380546393,633.7903846923344,502.2833322915805,406.46650329664067,389.54438065776634,1650.7295564484718,253.01226129924945,366.00802712842517,530.200769250309,388.90384476651957,411.57392032841005,753.965794867653,439.1801504269136,1310.9917547025236,221.44201978326473
Subject05,3594.4791354238105,1973.2237449477404,755.0282449467921,641.8785668329476,2257.379865450726,575.4258380546393,633.7903846923344,502.2833322915805,406.46650329664067,389.54438065776634,1650.7295564484718,253.01226129924945,366.00802712842517,530.200769250309,388.90384476651957,411.57392032841005,753.965794867653,439.1801504269136,1310.9917547025236,221.44201978326473
Subject06,3256.397653608822,729.0714117988572,685.4807762062744,364.1949077248233,563.1403541748113,456.92721167796316,231.57921297630023,228.86788578957922,323.9928142006198,266.27112668801414,249.4675225009462,297.5096611411012,401.03699828864785,241.01514208960836,204.34342575250886,282.1673988401278,352.6225723316151,336.31141502958343,214.60890181975824,47.068300464120895
