,EEG Fp1,EEG Fp2,EEG F3,EEG F4,EEG F7,EEG F8,EEG T3,EEG T4,EEG C3,EEG C4,EEG T5,EEG T6,EEG P3,EEG P4,EEG O1,EEG O2,EEG Fz,EEG Cz,EEG Pz,EEG A2-A1
Subject04,56.14206287100625,74.12980358191582,93.68435565558377,93.72827411080577,44.17115201977765,72.4982265136307,47.589287656306624,67.97808144442853,73.01785492633964,86.2119772543158,31.24856158472317,55.1643368197563,118.56463988607497,60.55981300858919,49.05185292361111,46.621333577575,109.67511383551852,84.72774892346246,47.57536050051844,7.985327625953784
Subject05,51.10092058429458,47.599332884054846,46.68151648083665,43.67642896030395,37.25781451780507,20.85187646259402,26.73051440015278,26.323863337425927,40.222454214867895,37.69496770241675,20.442672118158004,26.131867575429713,29.932816920422432,38.138233446876356,24.31248525917116,23.558299754802473,53.310357809037846,47.48961701320903,44.967077481572346,6.401322321911834
Subject04,56.14206287100625,74.12980358191582,93.68435565558377,93.72827411080577,44.17115201977765,72.4982265136307,47.589287656306624,67.97808144442853,73.01785492633964,86.2119772543158,31.24856158472317,55.1643368197563,118.56463988607497,60.55981300858919,49.05185292361111,46.621333577575,109.67511383551852,84.72774892346246,47.57536050051844,7.985327625953784
Subject05,51.10092058429458,47.599332884054846,46.68151648083665,43.67642896030395,37.25781451780507,20.85187646259402,26.73051440015278,26.323863337425927,40.222454214867895,37.69496770241675,20.442672118158004,26.131867575429713,29.932816920422432,38.138233446876356,24.31248525917116,23.558299754802473,53.310357809037846,47.48961701320903,44.967077481572346,6.401322321911834
Subject04,56.14206287100625,74.12980358191582,93.68435565558377,93.72827411080577,44.17115201977765,72.4982265136307,47.589287656306624,67.97808144442853,73.01785492633964,86.2119772543158,31.24856158472317,55.1643368197563,118.56463988607497,60.55981300858919,49.05185292361111,46.621333577575,109.67511383551852,84.72774892346246,47.57536050051844,7.985327625953784
Subject05,51.10092058429458,47.599332884054846,46.68151648083665,43.67642896030395,37.25781451780507,20.85187646259402,26.73051440015278,26.323863337425927,40.222454214867895,37.69496770241675,20.442672118158004,26.131867575429713,29.932816920422432,38.138233446876356,24.31248525917116,23.558299754802473,53.310357809037846,47.48961701320903,44.967077481572346,6.401322321911834
Subject04,56.14206287100625,74.12980358191582,93.68435565558377,93.72827411080577,44.17115201977765,72.4982265136307,47.589287656306624,67.97808144442853,73.01785492633964,86.2119772543158,31.24856158472317,55.1643368197563,118.56463988607497,60.55981300858919,49.05185292361111,46.621333577575,109.67511383551852,84.72774892346246,47.57536050051844,7.985327625953784
Subject05,51.10092058429458,47.599332884054846,46.68151648083665,43.67642896030395,37.25781451780507,20.85187646259402,26.73051440015278,26.323863337425927,40.222454214867895,37.69496770241675,20.442672118158004,26.131867575429713,29.932816920422432,38.138233446876356,24.31248525917116,23.558299754802473,53.310357809037846,47.48961701320903,44.967077481572346,6.401322321911834
Subject04,56.14206287100625,74.12980358191582,93.68435565558377,93.72827411080577,44.17115201977765,72.4982265136307,47.589287656306624,67.97808144442853,73.01785492633964,86.2119772543158,31.24856158472317,55.1643368197563,118.56463988607497,60.55981300858919,49.05185292361111,46.621333577575,109.67511383551852,84.72774892346246,47.57536050051844,7.985327625953784
Subject05,51.10092058429458,47.599332884054846,46.68151648083665,43.67642896030395,37.25781451780507,20.85187646259402,26.73051440015278,26.323863337425927,40.222454214867895,37.69496770241675,20.442672118158004,26.131867575429713,29.932816920422432,38.138233446876356,24.31248525917116,23.558299754802473,53.310357809037846,47.48961701320903,44.967077481572346,6.401322321911834
Subject04,56.14206287100625,74.12980358191582,93.68435565558377,93.72827411080577,44.17115201977765,72.4982265136307,47.589287656306624,67.97808144442853,73.01785492633964,86.2119772543158,31.24856158472317,55.1643368197563,118.56463988607497,60.55981300858919,49.05185292361111,46.621333577575,109.67511383551852,84.72774892346246,47.57536050051844,7.985327625953784
Subject05,51.10092058429458,47.599332884054846,46.68151648083665,43.67642896030395,37.25781451780507,20.85187646259402,26.73051440015278,26.323863337425927,40.222454214867895,37.69496770241675,20.442672118158004,26.131867575429713,29.932816920422432,38.138233446876356,24.31248525917116,23.558299754802473,53.310357809037846,47.48961701320903,44.967077481572346,6.401322321911834
Subject04,56.14206287100625,74.12980358191582,93.68435565558377,93.72827411080577,44.17115201977765,72.4982265136307,47.589287656306624,67.97808144442853,73.01785492633964,86.2119772543158,31.24856158472317,55.1643368197563,118.56463988607497,60.55981300858919,49.05185292361111,46.621333577575,109.67511383551852,84.72774892346246,47.57536050051844,7.985327625953784
Subject05,51.10092058429458,47.599332884054846,46.68151648083665,43.67642896030395,37.25781451780507,20.85187646259402,26.73051440015278,26.323863337425927,40.222454214867895,37.69496770241675,20.442672118158004,26.131867575429713,29.932816920422432,38.138233446876356,24.31248525917116,23.558299754802473,53.310357809037846,47.48961701320903,44.967077481572346,6.401322321911834
Subject05,51.10092058429458,47.599332884054846,46.68151648083665,43.67642896030395,37.25781451780507,20.85187646259402,26.73051440015278,26.323863337425927,40.222454214867895,37.69496770241675,20.442672118158004,26.131867575429713,29.932816920422432,38.138233446876356,24.31248525917116,23.558299754802473,53.310357809037846,47.48961701320903,44.967077481572346,6.401322321911834
Subject06,22.079007219774468,16.359059871747434,19.80968466138139,21.779056011063414,12.976515995778025,13.853431206201797,9.328860813069733,9.582674655877346,15.725165466212054,14.02826300889735,9.314247467609677,10.891475377654515,14.113846348654448,10.804059735841019,10.473842612101945,10.66505654204958,22.394229846031767,18.52995217260536,12.014227659697141,1.5169585945356068
